,date_heure,date,heure,effacement_necessaire,total_eolien_offshore,consommation,nucleaire_base,nucleaire_flexible,hydraulique,solaire,eolien_onshore,bioenergies,charbon,gaz,petrole,importations,exportations,soldes_echanges,step_decharge,step_charge,thermique_decharge,thermique_charge,effacement_potentiel_solaire,effacement_potentiel_eolien_onshore,effacemet_potentiel_eolien_offshore,batterie_decharge,batterie_charge,pertes,need,stock_batteries
26,2023-01-02-02,2023-01-02,02:00,0.0,13519.875000000002,64756.845,0.0,0.0,6479.576241746368,0.0,45775.60991507943,1069.0,0.0,31.101356159999995,0.10004500000000002,0.0,3294.434920990847,3294.434920990847,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4681.1254941378065,8972.665143187065,0.0
27,2023-01-02-03,2023-01-02,03:00,0.0,14217.375,62268.78,0.0,0.0,6537.009261882677,0.0,43554.933693494066,1085.0,0.0,18.660813695999995,0.010004500000000003,0.0,3294.434920990847,3294.434920990847,6871.907002547623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4578.823712272372,6871.907002547623,0.0
28,2023-01-02-04,2023-01-02,04:00,0.0,15550.375,60213.060000000005,0.0,0.0,6352.470326880915,0.0,40109.97054952663,1064.0,0.0,11.196488217599997,0.053500000000000006,0.0,3294.434920990847,3294.434920990847,6978.399291108983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4416.113091886129,6978.399291108983,0.0
29,2023-01-02-05,2023-01-02,05:00,9.094947017729282e-13,16964.75,60481.68,0.0,0.0,6391.072866365029,0.0,37258.60113283544,1059.0,0.0,6.717892930559998,0.053500000000000006,0.0,2738.075581007295,2738.075581007295,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4317.582668266594,8556.359339983552,0.0
30,2023-01-02-06,2023-01-02,06:00,0.0,17437.5,64088.07,0.0,0.0,6630.220267454307,0.0,34078.63515994792,1049.0,0.0,4.030735758335998,0.053500000000000006,3397.7096212908427,0.0,-3397.7096212908427,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4366.22214159427,13913.50513361556,0.0
31,2023-01-02-07,2023-01-02,07:00,302.8678724633246,17673.875,69520.41,0.0,0.0,8869.167116334193,0.0,29298.086369823515,1033.0,0.0,2.418441455001599,0.053500000000000006,11197.710021290844,0.0,-11197.710021290844,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4713.91117850974,15592.587872463326,0.0
32,2023-01-02-08,2023-01-02,08:00,2264.4323850599303,17821.125,73886.595,0.0,0.0,8908.711173834572,0.0,26091.620639792232,1038.0,0.0,162.40484145500162,0.053500000000000006,14317.710181290846,0.0,-14317.710181290846,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4717.462721432577,13329.840385059932,0.0
33,2023-01-02-09,2023-01-02,09:00,1777.0206723187875,17201.125,75901.245,0.0,0.0,8052.864799397144,2603.879185858333,24363.839132394067,1032.0,0.0,322.3912414550016,0.053500000000000006,17437.710341290847,0.0,-17437.710341290847,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4889.638872714169,12842.428672318789,0.0
34,2023-01-02-10,2023-01-02,10:00,1.3642420526593924e-12,16577.25,78182.85,0.0,0.0,8487.849431901295,13887.356000554291,23955.743544981065,1028.0,0.0,399.966,0.053500000000000006,17437.710341290847,0.0,-17437.710341290847,2051.409398375656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5642.488217103144,2123.909172716776,0.0
35,2023-01-02-11,2023-01-02,11:00,-1.3642420526593924e-12,16511.375,79286.19,0.0,0.0,9385.122919926114,19287.994456635737,22514.1589503206,1028.0,0.0,239.9796,0.053500000000000006,17437.710341290847,0.0,-17437.710341290847,0.0,0.0,0.0,0.0,0.0,1.3642420526593924e-12,0.0,0.0,3293.708429466086,5967.353481564351,-3443.228429466086,0.1266810934410033
